"NYSVoter Enrollment by County, Party Affiliation and Status",,,,,,,,,
"Voters Registered as of February 21, 2021",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
REGION,COUNTY,STATUS,DEM,REP,CON,WOR,OTH,BLANK,TOTAL
,,,,,,,,,
Outside NYC,Albany ,Active,"99,101","35,351","3,372",811,"9,113","47,388","195,136"
Outside NYC,Albany ,Inactive,"7,680","2,501",211,81,925,"4,058","15,456"
Outside NYC,Albany ,Total,"106,781","37,852","3,583",892,"10,038","51,446","210,592"
,,,,,,,,,
Outside NYC,Allegany ,Active,"5,654","13,302",450,127,"1,386","5,338","26,257"
Outside NYC,Allegany ,Inactive,206,381,18,6,73,263,947
Outside NYC,Allegany ,Total,"5,860","13,683",468,133,"1,459","5,601","27,204"
,,,,,,,,,
Outside NYC,Broome ,Active,"45,433","42,189","1,639",615,"6,972","25,898","122,746"
Outside NYC,Broome ,Inactive,"5,687","4,338",168,122,"1,007","4,019","15,341"
Outside NYC,Broome ,Total,"51,120","46,527","1,807",737,"7,979","29,917","138,087"
,,,,,,,,,
Outside NYC,Cattaraugus ,Active,"13,560","18,947","1,126",228,"2,522","10,220","46,603"
Outside NYC,Cattaraugus ,Inactive,606,875,52,14,117,544,"2,208"
Outside NYC,Cattaraugus ,Total,"14,166","19,822","1,178",242,"2,639","10,764","48,811"
,,,,,,,,,
Outside NYC,Cayuga ,Active,"15,176","17,614","1,371",271,"2,213","11,320","47,965"
Outside NYC,Cayuga ,Inactive,431,530,31,12,159,456,"1,619"
Outside NYC,Cayuga ,Total,"15,607","18,144","1,402",283,"2,372","11,776","49,584"
,,,,,,,,,
Outside NYC,Chautauqua ,Active,"25,026","27,975","2,031",452,"4,741","19,980","80,205"
Outside NYC,Chautauqua ,Inactive,696,676,49,18,326,712,"2,477"
Outside NYC,Chautauqua ,Total,"25,722","28,651","2,080",470,"5,067","20,692","82,682"
,,,,,,,,,
Outside NYC,Chemung ,Active,"15,404","21,246",852,232,"3,126","11,457","52,317"
Outside NYC,Chemung ,Inactive,950,851,37,13,271,681,"2,803"
Outside NYC,Chemung ,Total,"16,354","22,097",889,245,"3,397","12,138","55,120"
,,,,,,,,,
Outside NYC,Chenango ,Active,"7,248","13,327",517,150,"1,750","6,961","29,953"
Outside NYC,Chenango ,Inactive,449,615,34,13,158,528,"1,797"
Outside NYC,Chenango ,Total,"7,697","13,942",551,163,"1,908","7,489","31,750"
,,,,,,,,,
Outside NYC,Clinton ,Active,"17,565","14,899",520,248,"3,323","11,795","48,350"
Outside NYC,Clinton ,Inactive,917,738,22,5,185,737,"2,604"
Outside NYC,Clinton ,Total,"18,482","15,637",542,253,"3,508","12,532","50,954"
,,,,,,,,,
Outside NYC,Columbia ,Active,"18,879","12,966","1,095",251,"2,770","12,235","48,196"
Outside NYC,Columbia ,Inactive,82,9,2,0,1,15,109
Outside NYC,Columbia ,Total,"18,961","12,975","1,097",251,"2,771","12,250","48,305"
,,,,,,,,,
Outside NYC,Cortland ,Active,"8,965","10,236",468,116,"1,704","6,895","28,384"
Outside NYC,Cortland ,Inactive,541,489,23,10,169,565,"1,797"
Outside NYC,Cortland ,Total,"9,506","10,725",491,126,"1,873","7,460","30,181"
